YEARID,MONTHID,ENTERPRISEID,ENTEPRISENAME,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2020,9,43,Entity_0043,1.0,L2-ALL,-11247.59
2020,10,43,Entity_0043,1.0,L2-ALL,-11471.07
2020,11,43,Entity_0043,1.0,L2-ALL,-11285.19
2020,12,43,Entity_0043,1.0,L2-ALL,67212.1
2020,1,44,Entity_0044,1.0,L2-ALL,-10965.22
2020,2,44,Entity_0044,1.0,L2-ALL,-11079.61
2020,3,44,Entity_0044,1.0,L2-ALL,-9678.52
2020,4,44,Entity_0044,1.0,L2-ALL,-10930.14
2020,5,44,Entity_0044,1.0,L2-ALL,-11703.26
2020,6,44,Entity_0044,1.0,L2-ALL,-11492.49
2020,7,44,Entity_0044,1.0,L2-ALL,-11742.43
2020,8,44,Entity_0044,1.0,L2-ALL,-10150.38
2020,9,44,Entity_0044,1.0,L2-ALL,-11552.77
2020,10,44,Entity_0044,1.0,L2-ALL,-11251.77
2020,11,44,Entity_0044,1.0,L2-ALL,-11594.63
2020,12,44,Entity_0044,1.0,L2-ALL,72040.74
2020,1,46,Entity_0046,1.0,L2-ALL,-15282.7
2020,2,46,Entity_0046,1.0,L2-ALL,-15309.49
2020,3,46,Entity_0046,1.0,L2-ALL,-14424.75
2020,4,46,Entity_0046,1.0,L2-ALL,-15361.21
2020,5,46,Entity_0046,1.0,L2-ALL,-15689.66
2020,6,46,Entity_0046,1.0,L2-ALL,-15414.48
2020,7,46,Entity_0046,1.0,L2-ALL,-12122.09
2020,8,46,Entity_0046,1.0,L2-ALL,-15201.65
2020,9,46,Entity_0046,1.0,L2-ALL,-15493.18
2020,10,46,Entity_0046,1.0,L2-ALL,-15628.28
2020,11,46,Entity_0046,1.0,L2-ALL,-15547.85
2020,12,46,Entity_0046,1.0,L2-ALL,85286.17
2020,1,47,Entity_0047,1.0,L2-ALL,-9303.45
2020,2,47,Entity_0047,1.0,L2-ALL,-9319.99
2020,3,47,Entity_0047,1.0,L2-ALL,-9708.73
2020,4,47,Entity_0047,1.0,L2-ALL,-9351.86
2020,5,47,Entity_0047,1.0,L2-ALL,-8039.46
2020,6,47,Entity_0047,1.0,L2-ALL,-9384.72
2020,7,47,Entity_0047,1.0,L2-ALL,-6324.9
2020,8,47,Entity_0047,1.0,L2-ALL,-9227.45
2020,9,47,Entity_0047,1.0,L2-ALL,-8951.27
2020,10,47,Entity_0047,1.0,L2-ALL,-8719.34
2020,11,47,Entity_0047,1.0,L2-ALL,-9467.0
2020,12,47,Entity_0047,1.0,L2-ALL,55989.39
2020,1,48,Entity_0048,1.0,L2-ALL,-8207.17
2020,2,48,Entity_0048,1.0,L2-ALL,-8226.14
2020,3,48,Entity_0048,1.0,L2-ALL,-8673.27
2020,4,48,Entity_0048,1.0,L2-ALL,-8262.65
2020,5,48,Entity_0048,1.0,L2-ALL,-8495.67
2020,6,48,Entity_0048,1.0,L2-ALL,-8300.46
2020,7,48,Entity_0048,1.0,L2-ALL,-6182.96
