YEARID,ENTERPRISEID,ENTEPRISENAME,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2022,129,Entity_0129,1.0,L2-ALL,-331536.61
2022,131,Entity_0131,1.0,L2-ALL,-532225.09
2022,132,Entity_0132,1.0,L2-ALL,-207960.42
2022,139,Entity_0139,1.0,L2-ALL,-79763.74
2022,142,Entity_0142,3.0,L2B,-352871.06
2022,144,Entity_0144,1.0,L2-ALL,-147402.41
2022,145,Entity_0145,1.0,L2-ALL,-82447.55
2022,146,Entity_0146,1.0,L2-ALL,-91193.82
2022,148,Entity_0148,1.0,L2-ALL,-120244.08
2022,153,Entity_0153,1.0,L2-ALL,-160645.37
2022,155,Entity_0155,1.0,L2-ALL,-250218.35
2022,157,Entity_0157,1.0,L2-ALL,-162936.15
2022,160,Entity_0160,1.0,L2-ALL,-178171.95
2022,165,Entity_0165,1.0,L2-ALL,-103376.03
2022,166,Entity_0166,1.0,L2-ALL,-171087.94
2022,167,Entity_0167,1.0,L2-ALL,-102386.41
2022,169,Entity_0169,1.0,L2-ALL,-184028.19
2022,173,Entity_0173,1.0,L2-ALL,-140530.44
2022,174,Entity_0174,1.0,L2-ALL,-170166.78
2022,175,Entity_0175,1.0,L2-ALL,-120961.32
2022,176,Entity_0176,1.0,L2-ALL,-337848.45
2022,177,Entity_0177,1.0,L2-ALL,-144982.68
2022,178,Entity_0178,1.0,L2-ALL,-171745.06
2022,186,Entity_0186,1.0,L2-ALL,-35204.63
2022,188,Entity_0188,1.0,L2-ALL,-96701.56
2022,189,Entity_0189,1.0,L2-ALL,-149741.66
2022,190,Entity_0190,1.0,L2-ALL,-173245.74
2022,192,Entity_0192,1.0,L2-ALL,-53993.72
2022,193,Entity_0193,1.0,L2-ALL,-51484.69
2022,196,Entity_0196,1.0,L2-ALL,-136626.99
2022,200,Entity_0200,1.0,L2-ALL,-201433.27
2022,201,Entity_0201,1.0,L2-ALL,-113662.38
2022,212,Entity_0212,1.0,L2-ALL,-650073.11
2022,214,Entity_0214,1.0,L2-ALL,-138169.6
2022,216,Entity_0216,1.0,L2-ALL,-152826.64
2022,218,Entity_0218,1.0,L2-ALL,-199924.73
2022,224,Entity_0224,3.0,L2B,-493315.54
2022,226,Entity_0226,1.0,L2-ALL,9990.05
2022,231,Entity_0231,1.0,L2-ALL,-200876.96
2022,237,Entity_0237,1.0,L2-ALL,11788.32
2022,239,Entity_0239,1.0,L2-ALL,-177974.68
2022,242,Entity_0242,1.0,L2-ALL,-123991.29
2022,245,Entity_0245,1.0,L2-ALL,-117641.28
2022,249,Entity_0249,1.0,L2-ALL,-341137.0
2022,254,Entity_0254,1.0,L2-ALL,-85216.38
2022,284,Entity_0284,1.0,L2-ALL,-191352.24
2022,291,Entity_0291,1.0,L2-ALL,-164883.85
2022,294,Entity_0294,1.0,L2-ALL,-33180.2
2022,295,Entity_0295,1.0,L2-ALL,-432266.25
2022,306,Entity_0306,1.0,L2-ALL,-152397.42
2022,307,Entity_0307,1.0,L2-ALL,-275975.43
2022,309,Entity_0309,1.0,L2-ALL,-122607.48
2022,311,Entity_0311,1.0,L2-ALL,-170919.91
2022,315,Entity_0315,1.0,L2-ALL,-137696.09
2022,316,Entity_0316,1.0,L2-ALL,-41669.08
2022,318,Entity_0318,1.0,L2-ALL,-66425.52
2022,319,Entity_0319,1.0,L2-ALL,-162949.89
2022,320,Entity_0320,1.0,L2-ALL,-120290.97
2022,323,Entity_0323,1.0,L2-ALL,-152906.06
2022,324,Entity_0324,1.0,L2-ALL,-85879.06
2022,329,Entity_0329,1.0,L2-ALL,-1077604.68
2022,334,Entity_0334,3.0,L2B,-482506.88
2022,338,ADMIN_ENTITY_0338,1.0,L2-ALL,-156786.5
2022,338,ADMIN_ENTITY_0338,3.0,L2B,-283137.08
2022,343,Entity_0343,1.0,L2-ALL,-240970.0
2022,349,Entity_0349,1.0,L2-ALL,-106119.9
2022,353,Entity_0353,3.0,L2B,-97550.0
2022,354,Entity_0354,4.0,LJL,221705.57
2022,355,Entity_0355,3.0,L2B,-175673.1
2022,357,Entity_0357,3.0,L2B,-205060.82
2022,360,Entity_0360,3.0,L2B,-144825.37
2022,361,Entity_0361,3.0,L2B,-147532.3
2022,362,Entity_0362,3.0,L2B,-144823.47
2022,363,Entity_0363,3.0,L2B,-77771.03
2022,364,Entity_0364,1.0,L2-ALL,-56493.7
2022,369,Entity_0369,1.0,L2-ALL,-46031.14
2022,370,Entity_0370,3.0,L2B,-689632.13
2022,371,Entity_0371,1.0,L2-ALL,-161005.0
2022,372,Entity_0372,1.0,L2-ALL,-126435.87
2022,374,Entity_0374,1.0,L2-ALL,-1167958.14
2022,374,Entity_0374,3.0,L2B,-274525.29
2022,375,Entity_0375,1.0,L2-ALL,116710.59
2022,376,Entity_0376,1.0,L2-ALL,-47329.69
2022,378,Entity_0378,3.0,L2B,-136214.41
2022,381,Entity_0381,3.0,L2B,-64435.25
2022,383,Entity_0383,1.0,L2-ALL,4705770.19
2022,385,Entity_0385,3.0,L2B,-51342.86
2022,388,Entity_0388,1.0,L2-ALL,-49391.62
2022,389,Entity_0389,1.0,L2-ALL,-39540.97
2022,390,Entity_0390,1.0,L2-ALL,-18656.23
2022,391,Entity_0391,1.0,L2-ALL,-50820.01
2022,392,Entity_0392,1.0,L2-ALL,-26484.76
2022,393,Entity_0393,1.0,L2-ALL,-37116.47
2022,395,Entity_0395,1.0,L2-ALL,-27574.74
2022,396,Entity_0396,1.0,L2-ALL,-39783.79
2022,397,Entity_0397,3.0,L2B,-47823.95
2022,398,Entity_0398,3.0,L2B,-97736.29
2022,399,Entity_0399,1.0,L2-ALL,-62215.54
2022,400,ADMIN_ENTITY_0400,1.0,L2-ALL,-42816.56
2022,400,ADMIN_ENTITY_0400,3.0,L2B,-23999.95
2022,401,Entity_0401,1.0,L2-ALL,11924.0
2022,403,Entity_0403,1.0,L2-ALL,314417.96
2022,404,Entity_0404,3.0,L2B,46778.59
2022,406,Entity_0406,1.0,L2-ALL,-43669.91
2022,407,Entity_0407,3.0,L2B,-29115.68
2022,426,Entity_0426,4.0,LJL,39971.2
2023,2,Entity_0002,1.0,L2-ALL,-235665.67
2023,3,Entity_0003,1.0,L2-ALL,-40135.06
2023,6,ADMIN_ENTITY_0006,1.0,L2-ALL,-1258034.34
2023,6,ADMIN_ENTITY_0006,3.0,L2B,-79195.56
2023,7,Entity_0007,1.0,L2-ALL,-104607.4
2023,11,Entity_0011,1.0,L2-ALL,-99781.5
2023,19,Entity_0019,1.0,L2-ALL,-36935.73
2023,20,Entity_0020,1.0,L2-ALL,-66742.46
2023,21,Entity_0021,1.0,L2-ALL,-168796.8
2023,22,Entity_0022,1.0,L2-ALL,-175985.15
2023,23,Entity_0023,1.0,L2-ALL,-69753.03
2023,24,Entity_0024,1.0,L2-ALL,3181.96
2023,25,Entity_0025,1.0,L2-ALL,-51219.74
2023,26,Entity_0026,1.0,L2-ALL,-84566.19
2023,27,Entity_0027,1.0,L2-ALL,-163522.21
2023,28,Entity_0028,1.0,L2-ALL,-59823.64
2023,29,Entity_0029,1.0,L2-ALL,-62568.2
2023,30,Entity_0030,4.0,LJL,147069.79
2023,32,Entity_0032,1.0,L2-ALL,-57360.59
2023,34,Entity_0034,1.0,L2-ALL,-68083.27
2023,35,Entity_0035,1.0,L2-ALL,-182491.89
2023,41,Entity_0041,1.0,L2-ALL,-465016.61
2023,43,Entity_0043,1.0,L2-ALL,-68376.34
2023,44,Entity_0044,1.0,L2-ALL,-66142.55
2023,46,Entity_0046,1.0,L2-ALL,-89524.26
2023,47,Entity_0047,1.0,L2-ALL,-48029.75
2023,48,Entity_0048,1.0,L2-ALL,-111075.69
2023,49,Entity_0049,1.0,L2-ALL,-127712.37
2023,51,Entity_0051,1.0,L2-ALL,-149038.5
2023,55,Entity_0055,1.0,L2-ALL,-98184.27
2023,57,Entity_0057,1.0,L2-ALL,-144474.2
2023,60,Entity_0060,1.0,L2-ALL,-120547.1
2023,63,Entity_0063,1.0,L2-ALL,-166945.44
2023,64,Entity_0064,1.0,L2-ALL,-173781.49
2023,65,Entity_0065,1.0,L2-ALL,-340381.41
2023,66,Entity_0066,1.0,L2-ALL,-299632.29
2023,88,Entity_0088,1.0,L2-ALL,-123353.8
2023,99,Entity_0099,3.0,L2B,-80125.2
2023,101,Entity_0101,3.0,L2B,-136844.61
2023,102,Entity_0102,3.0,L2B,-132629.58
2023,103,Entity_0103,3.0,L2B,-130350.49
2023,104,Entity_0104,3.0,L2B,-85300.76
2023,105,Entity_0105,1.0,L2-ALL,-148241.0
2023,107,Entity_0107,1.0,L2-ALL,-93513.36
2023,108,Entity_0108,1.0,L2-ALL,-149168.01
2023,110,Entity_0110,1.0,L2-ALL,-78831.19
2023,111,Entity_0111,1.0,L2-ALL,-126700.48
2023,113,Entity_0113,1.0,L2-ALL,-118563.49
2023,115,Entity_0115,1.0,L2-ALL,-1210624.85
2023,121,Entity_0121,1.0,L2-ALL,-156768.74
2023,129,Entity_0129,1.0,L2-ALL,-38570.04
2023,131,Entity_0131,1.0,L2-ALL,-27368.74
2023,132,Entity_0132,1.0,L2-ALL,-5834.12
2023,139,Entity_0139,1.0,L2-ALL,-44030.13
2023,142,Entity_0142,3.0,L2B,-234011.41
2023,144,Entity_0144,1.0,L2-ALL,-79068.02
2023,145,Entity_0145,1.0,L2-ALL,-39479.19
2023,146,Entity_0146,1.0,L2-ALL,-95031.52
2023,148,Entity_0148,1.0,L2-ALL,-52891.56
2023,153,Entity_0153,1.0,L2-ALL,-187767.45
2023,155,Entity_0155,1.0,L2-ALL,-251323.4
2023,157,Entity_0157,1.0,L2-ALL,-166127.28
2023,160,Entity_0160,1.0,L2-ALL,-187622.52
2023,165,Entity_0165,1.0,L2-ALL,-109303.52
2023,166,Entity_0166,1.0,L2-ALL,-108105.25
2023,167,Entity_0167,1.0,L2-ALL,-24202.56
2023,169,Entity_0169,1.0,L2-ALL,-123978.75
2023,173,Entity_0173,1.0,L2-ALL,-141753.8
2023,174,Entity_0174,1.0,L2-ALL,-172137.78
2023,175,Entity_0175,1.0,L2-ALL,-122221.45
2023,176,Entity_0176,1.0,L2-ALL,-345877.19
2023,177,Entity_0177,1.0,L2-ALL,-148965.39
2023,178,Entity_0178,1.0,L2-ALL,-172794.95
2023,186,Entity_0186,1.0,L2-ALL,-32578.12
2023,188,Entity_0188,1.0,L2-ALL,-100685.49
2023,189,Entity_0189,1.0,L2-ALL,-150212.76
2023,190,Entity_0190,1.0,L2-ALL,-114663.03
2023,192,Entity_0192,1.0,L2-ALL,-30216.16
2023,193,Entity_0193,1.0,L2-ALL,-6265.89
